State,State Abbreviations,State Center Coordinates,Capital,State Capital Coordinates,Year State Founded,Capital Start,Current Capital,State Area (sq. miles),Distance Between (miles),Area to Distance Ratio
Alabama,AL,"32.7794, -86.8287",Huntsville,"34.73, -86.585",1819,1819,No,52420.07,135.17,2.59
Alabama,AL,"32.7794, -86.8287",Tuscaloosa,"33.2066667, -87.5347222",1819,1826,No,52420.07,50.48,3.02
California,CA,"37.1841, -119.4696",Benicia,"38.0633333, -122.1561111",1850,1853,No,163694.74,159.35,3.01
California,CA,"37.1841, -119.4696",San Jose,"37.3333333, -121.9",1850,1849,No,163694.74,134.36,3.09
California,CA,"37.1841, -119.4696",Vallejo,"38.1130556, -122.2358333",1850,1852,No,163694.74,164.65,3.00
Connecticut,CT,"41.6219, -72.7273",New Haven,"41.31, -72.9236111",1788,1701,No,5543.41,23.81,2.37
Georgia,GA,"32.6415, -83.4426",Augusta,"33.4666667, -81.9666667",1788,1785,No,59425.15,102.81,2.76
Georgia,GA,"32.6415, -83.4426",Ebenezer,"32.3766670, -81.180833",1788,1782,No,59425.15,133.31,2.65
Georgia,GA,"32.6415, -83.4426",Louisville,"33.0041667, -82.4047222",1788,1786,No,59425.15,65.36,2.96
Georgia,GA,"32.6415, -83.4426",Savannah,"32.0166667, -81.1166667",1788,1733,No,59425.15,142.72,2.62
Illinois,IL,"40.0417, -89.1965",Kaskaskia,"37.9213889, -89.9163889",1818,1818,No,57913.55,151.31,2.58
Illinois,IL,"40.0417, -89.1965",Vandalia,"38.9680556, -89.1019444",1818,1819,No,57913.55,74.24,2.89
Indiana,IN,"39.8942, -86.2816",Corydon,"38.2127778, -86.1252778",1816,1813,No,36419.55,116.29,2.50
Iowa,IA,"42.0751, -93.4960",Iowa City,"41.6601, -91.5342",1846,1841,No,56272.81,105.18,2.73
Louisiana,LA,"31.0689, -91.9968",Donaldsonville,"30.1, -90.9941667",1812,1829,No,52378.13,89.58,2.77
Louisiana,LA,"31.0689, -91.9968",New Orleans,"29.95, -90.0666667",1812,1862,No,52378.13,138.54,2.58
Louisiana,LA,"31.0689, -91.9968",Opelousas,"30.5280556, -92.0844444",1812,1862,No,52378.13,37.62,3.14
Louisiana,LA,"31.0689, -91.9968",Shreveport,"32.5147222, -93.7472222",1812,1863,No,52378.13,143.29,2.56
Maine,ME,"45.3695, -69.2428",Portland,"43.6666667, -70.2666667",1820,1820,No,35379.74,127.99,2.44
Michigan,MI,"44.3467, -85.4102",Detroit,"42.3313889, -83.0458333",1837,1805,No,96713.51,183.15,2.72
Georgia,GA,"32.6415, -83.4426",Milledgeville,"33.0877778, -83.2333333",1788,1804,No,59425.15,33.07,3.25
Mississippi,MS,"32.7364, -89.6678",Natchez,"31.5544444, -91.3875",1817,1790,No,48431.78,129.60,2.57
New Hampshire,NH,"43.6805, -71.5811",Exeter,"42.9813889, -70.9477778",1788,1775,No,9349.16,57.86,2.21
New York,NY,"42.9538, -75.5268",Hurley,"41.9241667, -74.0616667",1788,1777,No,54554.98,103.25,2.72
New York,NY,"42.9538, -75.5268",Kingston,"41.925, -74",1788,1777,No,54554.98,105.52,2.71
New York,NY,"42.9538, -75.5268",Poughkeepsie,"41.7, -73.93",1788,1788,No,54554.98,119.06,2.66
North Carolina,NC,"35.5557, -79.3877",Fayetteville,"35.0525, -78.8780556",1789,1789,No,53819.16,45.09,3.08
North Carolina,NC,"35.5557, -79.3877",New Bern,"35.1091667, -77.0691667",1789,1783,No,53819.16,134.55,2.60
Ohio,OH,"40.2862, -82.7937",Chillicothe,"39.3363889, -82.9838889",1803,1803,No,44825.58,66.31,2.83
Ohio,OH,"40.2862, -82.7937",Zanesville,"39.9461111, -82.0122222",1803,1810,No,44825.58,47.58,2.97
Oklahoma,OK,"35.5889, -97.4943",Guthrie,"35.8563889, -97.4358333",1907,1907,No,69898.87,18.73,3.57
Pennsylvania,PA,"40.8781, -77.7996",Lancaster,"40.0397222, -76.3044444",1787,1777,No,46054.35,97.75,2.67
Rhode Island,RI,"41.6762, -71.5562",Newport,"41.4880556, -71.3125",1790,1741,No,1544.89,18.11,1.93
South Carolina,SC,"33.9169, -80.8964",Charleston,"32.7833333, -79.9333333",1788,1783,No,32020.49,95.95,2.52
Tennessee,TN,"35.8580, -86.3505",Kingston,"35.8722222, -84.525",1796,1807,No,42144.25,102.45,2.61
Tennessee,TN,"35.8580, -86.3505",Knoxville,"35.9727778, -83.9422222",1796,1786,No,42144.25,135.30,2.49
Tennessee,TN,"35.8580, -86.3505",Murfreesboro,"35.8461111, -86.3919444",1796,1818,No,42144.25,2.47,4.23
Texas,TX,"31.4757, -99.3312",Galveston,"29.2811111, -94.8258333",1845,1836,No,268596.46,308.60,2.94
Texas,TX,"31.4757, -99.3312",West Columbia,"29.1413889, -95.6469444",1845,1836,No,268596.46,272.63,2.99
Vermont,VT,"44.0687, -72.6658",Windsor,"43.4766667, -72.4011111",1791,1791,No,9616.36,42.96,2.35
West Virginia,WV,"38.6409, -80.6227",Wheeling,"40.0702778, -80.6986111",1863,1861,No,24230.04,98.69,2.39
